,year,survey_num,EAST,EVER,KRV,OKEE,PP,SJM,OTHER
1,1997,1,3,123,36,28,NA,47,NA
2,1997,2,2,67,19,20,NA,33,NA
3,1997,3,5,118,30,22,NA,26,NA
4,1997,4,3,106,27,32,NA,34,NA
5,1997,5,14,240,36,88,NA,29,NA
6,1997,6,7,131,28,33,NA,32,NA
7,1998,1,12,127,3,19,NA,16,NA
8,1998,2,0,226,17,NA,NA,22,NA
9,1998,3,5,168,20,59,NA,17,NA
10,1998,4,5,229,11,28,NA,46,NA
11,1998,5,4,347,40,50,NA,42,NA
12,1998,6,NA,145,70,26,NA,19,NA
13,1999,1,10,229,29,31,NA,25,NA
14,1999,2,19,238,59,18,NA,58,NA
15,1999,3,32,329,99,63,NA,74,NA
16,1999,4,24,226,133,71,NA,75,NA
17,1999,5,14,276,141,34,NA,62,NA
18,1999,6,11,296,148,42,NA,27,NA
19,2000,1,14,334,114,13,NA,51,NA
20,2000,2,5,269,112,32,NA,37,NA
21,2000,3,10,133,107,25,NA,28,NA
22,2000,4,10,193,83,30,NA,46,NA
23,2000,5,13,165,67,45,NA,27,NA
24,2000,6,14,157,43,37,NA,22,NA
25,2001,1,NA,248,81,NA,NA,56,NA
26,2001,2,40,248,109,NA,NA,57,NA
27,2001,3,42,288,119,NA,NA,23,NA
28,2001,4,63,123,157,NA,NA,16,NA
29,2001,5,NA,40,146,NA,NA,8,NA
30,2001,6,3,29,184,NA,NA,6,NA
31,2002,1,11,263,106,7,NA,25,NA
32,2002,2,9,250,117,9,NA,38,NA
33,2002,3,14,214,130,7,NA,48,NA
34,2002,4,12,168,91,0,NA,50,NA
35,2002,5,21,87,82,0,NA,38,NA
36,2002,6,NA,NA,NA,NA,NA,NA,NA
37,2003,1,6,267,78,20,NA,40,NA
38,2003,2,NA,146,69,NA,NA,34,NA
39,2003,3,5,191,62,28,NA,32,NA
40,2003,4,NA,220,46,17,NA,24,NA
41,2003,5,NA,NA,NA,NA,NA,NA,NA
42,2003,6,NA,NA,NA,NA,NA,NA,NA
43,2004,1,NA,313,25,23,NA,46,NA
44,2004,2,4,238,24,32,NA,50,NA
45,2004,3,NA,227,21,30,NA,73,NA
46,2004,4,27,150,9,32,NA,42,NA
47,2004,5,38,111,36,20,NA,34,NA
48,2004,6,31,93,42,19,NA,43,NA
49,2005,1,41,316,49,66,NA,NA,NA
50,2005,2,39,312,86,44,NA,NA,NA
51,2005,3,41,179,45,64,NA,47,NA
52,2005,4,38,147,49,72,NA,31,NA
53,2005,5,56,126,55,64,NA,25,0
54,2005,6,40,107,62,5,NA,11,NA
55,2006,1,8,393,58,52,NA,46,NA
56,2006,2,14,227,53,61,NA,61,NA
57,2006,3,59,126,48,59,NA,64,NA
58,2006,4,71,115,52,18,NA,75,NA
59,2006,5,72,110,69,14,NA,85,NA
60,2006,6,68,98,59,10,NA,52,NA
61,2007,1,39,299,125,0,NA,3,NA
62,2007,2,57,258,173,0,NA,2,NA
63,2007,3,0,152,165,NA,NA,0,NA
64,2007,4,NA,116,168,0,NA,NA,NA
65,2007,5,NA,18,150,NA,NA,NA,NA
66,2007,6,NA,3,121,0,NA,NA,NA
67,2008,1,8,74,217,0,NA,4,NA
68,2008,2,11,89,191,NA,NA,14,1
69,2008,3,15,61,216,NA,NA,26,NA
70,2008,4,10,22,192,0,NA,20,NA
71,2008,5,10,55,192,0,NA,14,NA
72,2008,6,7,41,166,NA,NA,14,NA
73,2009,1,2,118,188,NA,NA,20,NA
74,2009,2,1,89,214,NA,NA,18,NA
75,2009,3,5,47,215,NA,NA,25,NA
76,2009,4,3,48,227,NA,NA,18,NA
77,2009,5,NA,18,185,NA,NA,10,NA
78,2009,6,3,5,143,NA,NA,1,17
79,2010,1,19,96,132,7,NA,22,3
80,2010,2,16,84,140,11,NA,28,4
81,2010,3,11,91,146,22,NA,20,0
82,2010,4,3,75,107,18,NA,15,12
83,2010,5,0,73,169,13,NA,15,7
84,2010,6,5,63,83,10,NA,10,34
85,2011,1,16,163,173,65,NA,17,14
86,2011,2,13,154,172,84,NA,13,25
87,2011,3,11,101,198,62,NA,21,13
88,2011,4,15,58,167,64,NA,9,6
89,2011,5,9,23,118,29,NA,3,4
90,2011,6,1,22,231,45,NA,0,14
91,2012,1,2,105,212,85,NA,14,23
92,2012,2,6,72,250,98,NA,28,20
93,2012,3,3,40,266,108,NA,18,50
94,2012,4,12,51,259,129,NA,19,14
95,2012,5,2,28,223,82,NA,13,15
96,2012,6,0,40,255,100,NA,4,15
97,2013,1,3,122,251,165,NA,0,0
98,2013,2,4,94,269,183,NA,6,3
99,2013,3,8,64,266,164,NA,6,0
100,2013,4,5,54,245,128,NA,7,5
101,2013,5,7,60,202,119,NA,1,1
102,2013,6,1,91,228,115,NA,0,1
103,2014,1,8,159,212,178,NA,7,8
104,2014,2,13,134,229,186,NA,3,7
105,2014,3,12,135,218,223,NA,2,7
106,2014,4,11,146,153,212,NA,0,6
107,2014,5,12,167,136,187,NA,1,3
108,2014,6,14,219,116,118,NA,0,0
109,2015,1,16,155,274,303,NA,2,5
110,2015,2,22,192,313,231,NA,5,5
111,2015,3,15,237,275,116,NA,4,7
112,2015,4,22,209,197,109,NA,79,0
113,2015,5,12,269,209,79,NA,100,0
114,2015,6,1,267,167,31,NA,91,1
115,2016,1,8,101,400,225,NA,64,1
116,2016,2,24,117,402,175,NA,79,0
117,2016,3,10,120,385,150,NA,114,0
118,2016,4,9,115,290,112,NA,157,NA
119,2016,5,12,134,194,91,NA,175,NA
120,2016,6,8,122,149,91,NA,142,2
121,2017,1,25,63,405,369,NA,36,0
122,2017,2,15,66,324,299,NA,9,2
123,2017,3,21,66,467,147,NA,23,0
124,2017,4,11,76,474,35,NA,11,0
125,2017,5,15,108,524,10,NA,21,NA
126,2017,6,16,70,264,21,NA,19,5
127,2018,1,3,155,193,163,NA,30,0
128,2018,2,25,212,272,119,NA,33,0
129,2018,3,35,109,330,144,NA,56,NA
130,2018,4,37,62,272,180,NA,60,NA
131,2018,5,34,89,106,128,NA,61,NA
132,2018,6,44,141,94,199,NA,48,0
133,2019,1,23,195,356,180,36,59,2
134,2019,2,28,190,386,162,40,61,0
135,2019,3,33,236,402,52,53,145,0
136,2019,4,47,193,333,55,46,132,NA
137,2019,5,65,158,475,121,49,100,NA
138,2019,6,68,155,333,76,66,147,3
139,2020,1,29,35,473,65,122,60,0
140,2020,2,4,41,570,29,151,95,0
141,2020,3,0,24,470,16,122,85,NA
142,2020,4,NA,14,509,12,112,81,NA
143,2020,5,0,7,318,8,63,61,NA
144,2020,6,32,15,372,10,89,49,0
145,2021,1,82,2,299,160,12,24,NA
146,2021,2,91,8,332,252,16,63,NA
147,2021,3,33,16,295,270,0,43,NA
148,2021,4,85,16,243,286,NA,53,NA
149,2021,5,100,84,239,322,NA,43,NA
150,2021,6,182,118,194,269,NA,17,NA
151,2022,1,105,33,221,304,122,24,6
152,2022,2,153,17,207,279,106,42,5
153,2022,3,164,27,200,275,116,49,3
154,2022,4,106,28,138,197,121,34,8
155,2022,5,144,19,206,170,141,17,48
156,2022,6,36,6,117,163,140,15,43
157,2023,1,0,0,232,267,145,55,13
158,2023,2,NA,0,256,409,164,54,13
159,2023,3,0,0,194,339,171,53,11
160,2023,4,12,0,152,256,137,40,15
161,2023,5,NA,1,172,280,47,32,11
162,2023,6,0,7,70,91,78,21,3
163,2024,1,2,0,214,222,2,64,12
164,2024,2,7,0,224,294,NA,55,15
165,2024,3,8,0,156,295,0,50,25
166,2024,4,NA,0,161,291,NA,40,NA
167,2024,5,NA,0,173,180,NA,56,18
168,2024,6,36,0,114,107,NA,27,31
169,2025,1,22,0,37,62,NA,56,7
170,2025,2,32,0,23,28,NA,NA,36
171,2025,3,NA,NA,NA,NA,NA,NA,2
172,2025,4,NA,NA,NA,NA,NA,NA,NA
173,2025,5,NA,NA,NA,NA,NA,NA,NA
174,2025,6,NA,NA,NA,NA,NA,NA,NA
